,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
83,koslan,RU,89,12/04/2019,97,63.46,48.9,10.35,2.93
84,xai-xai,MZ,100,12/04/2019,69,-25.04,33.64,68.36,13.89
85,goya,AR,89,12/04/2019,48,-29.14,-59.27,78.4,9.01
86,dingle,IE,75,12/04/2019,75,52.14,-10.27,46.4,10.29
87,ishigaki,JP,100,12/04/2019,82,24.34,124.16,68.59,31
88,vao,NC,100,12/04/2019,80,-22.67,167.48,75.54,3.71
89,andenes,NO,75,12/04/2019,81,69.31,16.12,44.6,33.33
90,gopalpur,IN,0,12/04/2019,44,25.6,86.94,63.34,4.18
91,khatanga,RU,0,12/04/2019,84,71.98,102.47,-26.79,10.76
92,marsa matruh,EG,17,12/04/2019,63,31.35,27.25,60.8,2.55
93,kuala selangor,MY,20,12/04/2019,88,3.34,101.25,80.6,2.21
94,bredasdorp,ZA,0,12/04/2019,55,-34.53,20.04,63,14.99
95,matay,EG,0,12/04/2019,56,28.42,30.79,59.79,11.81
96,enid,US,1,12/04/2019,47,36.4,-97.88,57.2,5.82
97,alta floresta,BR,40,12/04/2019,59,-9.87,-56.08,91.4,3.36
98,karachev,RU,100,12/04/2019,93,53.12,35,27.52,18.07
99,muros,ES,0,12/04/2019,81,42.77,-9.06,52,6.93
100,urengoy,RU,89,12/04/2019,97,65.96,78.37,0.81,9.66
101,la rioja,AR,98,12/04/2019,59,-29.41,-66.86,61.83,8.03
102,montanha,BR,100,12/04/2019,95,-18.13,-40.37,70.43,7.43
103,shenjiamen,CN,0,12/04/2019,50,29.96,122.3,54.09,11.36
104,henties bay,NA,79,12/04/2019,83,-22.12,14.28,64,5.01
105,chokurdakh,RU,99,12/04/2019,93,70.62,147.9,-12.15,8.41
106,pingliang,CN,15,12/04/2019,47,35.54,106.68,22.46,5.73
107,srednekolymsk,RU,100,12/04/2019,98,67.46,153.71,-12.35,9.53
108,lujan,AR,79,12/04/2019,32,-46.57,-67.67,68.9,17.69
109,cape town,ZA,0,12/04/2019,36,-33.93,18.42,75.2,18.34
110,mar del plata,AR,79,12/04/2019,32,-46.43,-67.52,68.9,17.69
111,bafq,IR,0,12/04/2019,54,31.6,55.4,54.63,2.98
112,urozhaynoye,RU,100,12/04/2019,87,47.7,142.03,18.46,23.15
